Ticker,Type,Exchange,Expiration Date,Multiplier,Base currency ,Symbol,Quote currency
RRC,STK,SMART,,,USD,,
GUSH,STK,SMART,,,USD,,
UNG,STK,SMART,,,USD,,
USO,STK,SMART,,,USD,,
BNO,STK,SMART,,,USD,,
CPER,STK,SMART,,,USD,,
PALL,STK,SMART,,,USD,,
PSLV,STK,SMART,,,USD,,
SLV,STK,SMART,,,USD,,
URA,STK,SMART,,,USD,,
DBB,STK,SMART,,,USD,,
WOOD,STK,SMART,,,USD,,
DBA,STK,SMART,,,USD,,
GLD,STK,SMART,,,USD,,
SOYB,STK,SMART,,,USD,,
GDXJ,STK,SMART,,,USD,,
GDX,STK,SMART,,,USD,,
NUGT,STK,SMART,,,USD,,
NIB,STK,SMART,,,USD,,
COW,STK,SMART,,,USD,,
